Nama_Produk,Harga,Rating,Terjual,Lokasi
[IPPOLITO COFFEE] 100% Arabika Kopi Filter Aceh Gayo Wine Process 200gr Biji/Bubuk Fresh Coffee Roastery,95900.0,4.9,100.0,Jakarta Utara
Kopi Arabika Malabar Premium 250 gram,72576.0,4.9,250.0,Jakarta Selatan
Kopi Arabika Aceh Gayo Medium 250 gram,44000.0,4.9,500.0,Jakarta Selatan
TIRAMISMOOTH CAMADA Kopi Espresso House Blend Coffee Beans Bubuk Asli by Sakha Coffee,74900.0,5.0,8000.0,Bekasi
Kopi Arabika Gayo Aceh  100% 250 GRAM single origin Coffee Bubuk Espresso arabica Fullwash,80000.0,4.8,13.0,Jakarta Selatan
Kopi Arabika Mekarwangi 250 GRAM 100% single origin bubuk espresso americano arabica coffee,84000.0,4.9,17.0,Jakarta Selatan
Serkop Roastery - Garut Arabica Honey Process,68000.0,4.9,2000.0,Bandung
Semekar Coffee - Biji Bubuk Kopi Jasmine Espresso House Blend 50% Arabika 50% Robusta,59900.0,5.0,3000.0,Tangerang Selatan
Kopi Arabika Toraja 250 gram,69900.0,4.9,1000.0,Jakarta Selatan
Mardika Coffee ESPRESSO ARABICA COMMERCIAL BLEND 1KG- 100% Biji Kopi Es Kopi Susu Arabica Ekonomis Freshly Roasted,205000.0,4.9,1000.0,Bogor
Kopi Arabika Semendo Arabica Coffee Beans 500gr Roast Bean Biji Bubuk,204900.0,5.0,1000.0,Bekasi
Biji Kopi Arabika ESPRESSO SPECIAL (500 GRAM) ARABICA BLEND Coffee Arabica,91000.0,5.0,750.0,Bandung
Kopi Luwak Liar Arabika Gayo Aceh Arabica Coffee 200 Gram Biji / Bubuk by Sakha Coffee,199900.0,5.0,4000.0,Bekasi
Biji Kopi Arabika 100% Full Arabica Gayo Roasted Beans Komersial 1KG Coffee Espresso,81000.0,4.9,250.0,Jakarta Barat
Roasted Bean Premium Arabica Washed - 1kg Biji Kopi Sangrai,352500.0,5.0,10000.0,Jakarta Selatan
Kopi Luwak Liar ARABIKA Aceh Gayo ASLI biji kopi arabica LIMITED,89000.0,4.9,750.0,Jakarta Utara
Kopi Arabika Garut Gulali Kafein (Biji/Bubuk),12724990.0,4.9,1000.0,Jakarta Selatan
Kosaku Kogarashi Coffee Beans 200gr - Biji Kopi Arabika,109000.0,4.9,250.0,Surabaya
Biji Kopi Bubuk Arabika Malabar Jawa Barat Arabica Coffee Beans 200gr,87800.0,4.9,1000.0,Bekasi
100% murniKopi bubuk arabika terjangkau  Tradisional Bubuk Coffeekandat 250gr kopi kopi mantab kualitas ekspor,150000.0,5.0,70.0,Kediri
Kopi Arabica Aceh Gayo Honey Process 200g - Biji / Bubuk Single Origin Otten Coffee Roasted Beans,122670.0,4.9,1000.0,Medan
Kamojang Grape Bloom 100gr - Coffee Kopi Arabica Anaerob Natural Espresso V60,198800.0,5.0,30.0,Jakarta Barat
Biji Kopi 1kg SUNDA KELAPA 70% Arabika 30% Robusta Espresso Blend,72000.0,5.0,1000.0,Jakarta Utara
Biji Kopi 60.40 1 KG Commercial Grade Arabica Robusta,16900.0,4.9,1000.0,Jakarta Barat
Toko Afung Specialty - Espresso Blend,66000.0,4.9,2000.0,Jakarta Pusat
Kopiyahireng Arabika 100% Murni 250g - Kopi,210000.0,5.0,2.0,Kab. Banyumas
GAYO CHOCO COOKIES | SEMI WASH | SPECIALTY ESPRESSO BASED,89900.0,5.0,1000.0,Kab. Sleman
Kopi Ijen Raung Java Arabika 250gr,204900.0,5.0,30.0,Kab. Tangerang
Kopi Arabika Robusta 050 FLOK Es Kopi Susu Espresso Blend 250 GR,65000.0,5.0,2000.0,Bandung
KOPI BREAKFAST BLEND ESPRESSO PREMIUM 500 GRAM BIJI DAN BUBUK,57800.0,5.0,10000.0,Kab. Bandung
El's Coffe Mandheling Arabika Kopi 200Gr PureIndonesiaCoffee/Biji Kopi/kopi Bubuk/Arabika mandheling,80000.0,4.9,100.0,Bandar Lampung
Kopi Arabika MOONLIME JENNIFER Arabica Coffee Beans Biji Bubuk Coffe Bean,79900.0,4.9,100.0,Denpasar
Serkop Coffee Company - Kopi Kerinci Honey Anaerob Process for Filter,68000.0,5.0,750.0,Bandung
Kopi Java Preanger Arabika Semiwash Grade 1 - Green Bean - 1 KG,198800.0,5.0,750.0,Bandung
Kopi Arabika Java Preanger 1kg | Premium Roasted Coffee,17000.0,4.9,2000.0,Bandung
Reelkopi Arabica Aceh Gayo Specialty Semi Wash Roasted Coffee Bean 250 gram Pack Biji Kopi Arabika Bener Meriah Heritage,28463.0,4.8,500.0,Tangerang Selatan
Semekar Coffee -- Biji Bubuk Kopi Arabika Aceh Gayo Specialty Fresh Roasted Beans,69900.0,5.0,3000.0,Tangerang Selatan
